# x   seno   coseno   amortiguada
2.6529 0.469472 -0.882948 -0.6655
2.67035 0.45399 -0.891007 -0.681148
2.68781 0.438371 -0.898794 -0.693412
2.70526 0.422618 -0.906308 -0.70225
2.72271 0.406737 -0.913545 -0.707631
2.74017 0.390731 -0.920505 -0.709546
2.75762 0.374607 -0.927184 -0.708
2.77507 0.358368 -0.93358 -0.703015
2.79253 0.34202 -0.939693 -0.694631
2.80998 0.325568 -0.945519 -0.682903
2.82743 0.309017 -0.951057 -0.667904
2.84489 0.292372 -0.956305 -0.64972
2.86234 0.275637 -0.961262 -0.628453
2.87979 0.258819 -0.965926 -0.604221
2.89725 0.241922 -0.970296 -0.577154
2.9147 0.224951 -0.97437 -0.547397
2.93215 0.207912 -0.978148 -0.515106
2.94961 0.190809 -0.981627 -0.480448
2.96706 0.173648 -0.984808 -0.443604
2.98451 0.156434 -0.987688 -0.404761
3.00197 0.139173 -0.990268 -0.364118
3.01942 0.121869 -0.992546 -0.32188
3.03687 0.104528 -0.994522 -0.27826
3.05433 0.0871557 -0.996195 -0.233476
3.07178 0.0697565 -0.997564 -0.18775
3.08923 0.052336 -0.99863 -0.14131
3.10669 0.0348995 -0.999391 -0.0943851
3.12414 0.0174524 -0.999848 -0.0472047
3.14159 1.22465e-16 -1 -3.30768e-16
3.15905 -0.0174524 -0.999848 0.0469991
3.1765 -0.0348995 -0.999391 0.093565
3.19395 -0.052336 -0.99863 0.139473
3.21141 -0.0697565 -0.997564 0.184502
3.22886 -0.0871557 -0.996195 0.228437
3.24631 -0.104528 -0.994522 0.27107
3.26377 -0.121869 -0.992546 0.312198
3.28122 -0.139173 -0.990268 0.351627
3.29867 -0.156434 -0.987688 0.389174
3.31613 -0.173648 -0.984808 0.424664
3.33358 -0.190809 -0.981627 0.457933
3.35103 -0.207912 -0.978148 0.488829
3.36849 -0.224951 -0.97437 0.517211
3.38594 -0.241922 -0.970296 0.542953
3.40339 -0.258819 -0.965926 0.565941
3.42085 -0.275637 -0.961262 0.586075
3.4383 -0.292372 -0.956305 0.60327
3.45575 -0.309017 -0.951057 0.617454
3.47321 -0.325568 -0.945519 0.628572
3.49066 -0.34202 -0.939693 0.636583
3.50811 -0.358368 -0.93358 0.641461
3.52557 -0.374607 -0.927184 0.643197
3.54302 -0.390731 -0.920505 0.641795
3.56047 -0.406737 -0.913545 0.637276
3.57792 -0.422618 -0.906308 0.629676
3.59538 -0.438371 -0.898794 0.619045
3.61283 -0.45399 -0.891007 0.605449
3.63028 -0.469472 -0.882948 0.588965
3.64774 -0.48481 -0.87462 0.569687
3.66519 -0.5 -0.866025 0.547721
3.68264 -0.515038 -0.857167 0.523185
3.7001 -0.529919 -0.848048 0.49621
3.71755 -0.544639 -0.838671 0.466938
3.735 -0.559193 -0.829038 0.435522
3.75246 -0.573576 -0.819152 0.402123
3.76991 -0.587785 -0.809017 0.366912
3.78736 -0.601815 -0.798636 0.33007
3.80482 -0.615661 -0.788011 0.291782
3.82227 -0.62932 -0.777146 0.25224
3.83972 -0.642788 -0.766044 0.211644
3.85718 -0.656059 -0.75471 0.170194
3.87463 -0.669131 -0.743145 0.128097
3.89208 -0.681998 -0.731354 0.0855592
3.90954 -0.694658 -0.71934 0.0427906
3.92699 -0.707107 -0.707107 3.74798e-16
3.94444 -0.71934 -0.694658 -0.0426043
3.9619 -0.731354 -0.681998 -0.0848158
3.97935 -0.743145 -0.669131 -0.126431
3.9968 -0.75471 -0.656059 -0.167249
4.01426 -0.766044 -0.642788 -0.207076
4.03171 -0.777146 -0.62932 -0.245722
4.04916 -0.788011 -0.615661 -0.283004
4.06662 -0.798636 -0.601815 -0.318747
4.08407 -0.809017 -0.587785 -0.352783
4.10152 -0.819152 -0.573576 -0.384954
4.11898 -0.829038 -0.559193 -0.415112
4.13643 -0.838671 -0.544639 -0.443118
4.15388 -0.848048 -0.529919 -0.468847
4.17134 -0.857167 -0.515038 -0.492182
4.18879 -0.866025 -0.5 -0.51302
4.20624 -0.87462 -0.48481 -0.531272
4.2237 -0.882948 -0.469472 -0.546858
4.24115 -0.891007 -0.45399 -0.559716
4.2586 -0.898794 -0.438371 -0.569794
4.27606 -0.906308 -0.422618 -0.577056
4.29351 -0.913545 -0.406737 -0.581478
4.31096 -0.920505 -0.390731 -0.583051
4.32842 -0.927184 -0.374607 -0.581781
4.34587 -0.93358 -0.358368 -0.577685
4.36332 -0.939693 -0.34202 -0.570796
4.38078 -0.945519 -0.325568 -0.561159
4.39823 -0.951057 -0.309017 -0.548833
4.41568 -0.956305 -0.292372 -0.533891
4.43314 -0.961262 -0.275637 -0.516416
4.45059 -0.965926 -0.258819 -0.496504
4.46804 -0.970296 -0.241922 -0.474262
4.4855 -0.97437 -0.224951 -0.44981
4.50295 -0.978148 -0.207912 -0.423275
4.5204 -0.981627 -0.190809 -0.394796
4.53786 -0.984808 -0.173648 -0.36452
4.55531 -0.987688 -0.156434 -0.332602
